id_item,id_pedido,id_produto,quantidade,preco_unitario
1,1,1,1,650.00
2,1,4,1,780.00
3,1,10,1,380.00
4,2,1,1,650.00
5,3,2,1,950.00
6,4,5,1,1100.00
7,4,4,1,780.00
8,4,3,1,430.00
9,5,3,1,430.00
10,6,4,1,780.00
11,7,5,1,1100.00
12,8,9,1,3500.00
13,9,6,1,520.00
14,10,3,1,430.00
15,10,1,1,650.00
16,10,10,1,380.00
17,11,2,1,950.00
18,12,4,1,780.00
19,13,8,1,2400.00
20,14,5,1,1100.00
21,15,7,1,1650.00
22,16,1,1,650.00
23,17,4,1,780.00
24,18,5,1,1100.00
25,19,10,1,380.00
26,20,5,1,1100.00
27,20,4,1,780.00
28,21,3,1,430.00
29,22,9,1,3500.00
30,23,1,1,650.00
31,23,4,1,780.00
32,23,10,1,380.00
33,24,2,1,950.00
34,25,8,1,2400.00
35,26,1,1,650.00
36,27,4,1,780.00
37,28,5,1,1100.00
38,29,3,1,430.00
39,29,1,1,650.00
40,29,10,1,380.00
41,30,10,1,380.00
42,31,2,1,950.00
43,32,4,1,780.00
44,33,5,1,1100.00
45,34,5,1,1100.00
46,34,4,1,780.00
47,34,3,1,430.00
48,35,9,1,3500.00
49,36,3,1,430.00
50,37,1,1,650.00
51,37,4,1,780.00
52,37,10,1,380.00
53,38,1,1,650.00
54,39,4,1,780.00
55,40,2,1,950.00
56,41,7,1,1650.00
57,42,8,1,2400.00
58,43,6,1,520.00
59,44,4,1,780.00
60,45,5,1,1100.00
61,46,1,1,650.00
62,46,3,1,430.00
63,46,10,1,380.00
64,47,8,1,2400.00
65,48,9,1,3500.00
66,49,3,1,430.00
67,50,4,1,780.00
68,1,6,1,520.00
69,2,10,1,380.00
70,3,3,1,430.00
71,4,7,1,1650.00
72,5,10,1,380.00
73,6,6,1,520.00
74,7,3,1,430.00
75,8,5,1,1100.00
76,9,1,1,650.00
77,10,8,1,2400.00
78,11,10,1,380.00
79,12,7,1,1650.00
80,13,1,1,650.00
81,14,4,1,780.00
82,15,5,1,1100.00
83,16,3,1,430.00
84,17,1,1,650.00
85,18,10,1,380.00
86,19,4,1,780.00
87,20,3,1,430.00
88,21,1,1,650.00
89,22,7,1,1650.00
90,23,3,1,430.00
91,24,1,1,650.00
92,25,4,1,780.00
93,26,5,1,1100.00
94,27,10,1,380.00
95,28,4,1,780.00
96,29,7,1,1650.00
97,30,8,1,2400.00
98,31,10,1,380.00
99,32,5,1,1100.00
100,33,3,1,430.00
101,34,10,1,380.00
102,35,7,1,1650.00
103,36,8,1,2400.00
104,37,6,1,520.00
105,38,3,1,430.00
106,39,1,1,650.00
107,40,10,1,380.00
108,41,3,1,430.00
109,42,1,1,650.00
110,43,10,1,380.00
111,44,3,1,430.00
112,45,1,1,650.00
113,46,5,1,1100.00
114,47,4,1,780.00
115,48,5,1,1100.00
116,49,10,1,380.00
117,50,3,1,430.00
118,12,6,1,520.00
119,17,10,1,380.00
120,24,7,1,1650.00
