id_pagamento,id_pedido,data_pagamento,valor_pago,forma_pagamento
1,1,2024-08-12,1450.00,Pix
2,2,2024-08-14,650.00,Pix
3,3,2024-08-15,950.00,Cartão
4,4,2024-08-17,2080.00,Boleto
5,5,2024-08-18,430.00,Pix
6,6,2024-08-19,780.00,Pix
7,7,2024-08-20,1100.00,Cartão
8,8,2024-08-20,3500.00,Pix
9,9,2024-08-21,520.00,Pix
10,10,2024-08-22,1430.00,Boleto
11,11,2024-08-25,950.00,Pix
12,12,2024-08-28,780.00,Pix
13,13,2024-09-01,2400.00,Cartão
14,14,2024-09-03,1100.00,Pix
15,15,2024-09-04,1650.00,Boleto
16,16,2024-09-05,650.00,Pix
17,17,2024-09-07,780.00,Pix
18,18,2024-09-10,1100.00,Cartão
19,19,2024-09-12,380.00,Pix
20,20,2024-09-14,2080.00,Boleto
21,21,2024-09-18,430.00,Pix
22,22,2024-09-20,3500.00,Pix
23,23,2024-09-22,1450.00,Pix
24,24,2024-09-24,950.00,Cartão
25,25,2024-09-25,2400.00,Boleto
26,26,2024-09-26,650.00,Pix
27,27,2024-09-28,780.00,Pix
28,28,2024-09-30,1100.00,Cartão
29,29,2024-10-02,1430.00,Boleto
30,30,2024-10-03,380.00,Pix
31,31,2024-10-05,950.00,Pix
32,32,2024-10-06,780.00,Cartão
33,33,2024-10-07,1100.00,Pix
34,34,2024-10-08,2080.00,Boleto
35,35,2024-10-10,3500.00,Pix
36,36,2024-10-12,430.00,Pix
37,37,2024-10-15,1450.00,Cartão
38,38,2024-10-16,650.00,Pix
39,39,2024-10-17,780.00,Pix
40,40,2024-10-18,950.00,Boleto
41,41,2024-10-19,1650.00,Pix
42,42,2024-10-20,2400.00,Pix
43,43,2024-10-21,520.00,Pix
44,44,2024-10-22,780.00,Cartão
45,45,2024-10-23,1100.00,Pix
46,46,2024-10-24,1430.00,Pix
47,47,2024-10-25,2400.00,Cartão
48,48,2024-10-26,3500.00,Boleto
49,49,2024-10-27,430.00,Pix
50,50,2024-10-28,780.00,Pix
