id_pedido,id_cliente,data_pedido,valor_total
1,3,2024-08-12,1450.00
2,1,2024-08-14,650.00
3,5,2024-08-15,950.00
4,2,2024-08-17,2080.00
5,8,2024-08-18,430.00
6,4,2024-08-19,780.00
7,6,2024-08-20,1100.00
8,7,2024-08-20,3500.00
9,9,2024-08-21,520.00
10,10,2024-08-22,1430.00
11,3,2024-08-25,950.00
12,5,2024-08-28,780.00
13,2,2024-09-01,2400.00
14,1,2024-09-03,1100.00
15,8,2024-09-04,1650.00
16,9,2024-09-05,650.00
17,4,2024-09-07,780.00
18,6,2024-09-10,1100.00
19,7,2024-09-12,380.00
20,2,2024-09-14,2080.00
21,5,2024-09-18,430.00
22,10,2024-09-20,3500.00
23,3,2024-09-22,1450.00
24,8,2024-09-24,950.00
25,9,2024-09-25,2400.00
26,4,2024-09-26,650.00
27,6,2024-09-28,780.00
28,1,2024-09-30,1100.00
29,7,2024-10-02,1430.00
30,2,2024-10-03,380.00
31,3,2024-10-05,950.00
32,5,2024-10-06,780.00
33,6,2024-10-07,1100.00
34,4,2024-10-08,2080.00
35,15,2024-10-10,3500.00
36,14,2024-10-12,430.00
37,13,2024-10-15,1450.00
38,11,2024-10-16,650.00
39,12,2024-10-17,780.00
40,9,2024-10-18,950.00
41,8,2024-10-19,1650.00
42,7,2024-10-20,2400.00
43,6,2024-10-21,520.00
44,5,2024-10-22,780.00
45,3,2024-10-23,1100.00
46,1,2024-10-24,1430.00
47,2,2024-10-25,2400.00
48,4,2024-10-26,3500.00
49,10,2024-10-27,430.00
50,12,2024-10-28,780.00
